Tahun Registrasi,Provinsi,Kota/Kabupaten,Tipe Kendaraan,Brand,Model,Estimasi Harga (Rp),Jarak Tempuh (km),Penerima Subsidi
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,31000000,96,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,28000000,103,Ya
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox R,19000000,124,Ya
2020,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Wuling,Air EV,393000000,343,Tidak
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,28000000,118,Ya
2023,Jawa Barat,Bandung,Mobil Listrik (R4),MG,MG 4 EV,519000000,333,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,24000000,106,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Honda,EM1 e:,43000000,126,Ya
2025,Jawa Barat,Bandung,Motor Listrik (R2),Volta,Virgo,24000000,63,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,222000000,377,Ya
2022,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 5,1052000000,408,Tidak
2024,Jawa Barat,Bogor,Motor Listrik (R2),Volta,401,19000000,70,Ya
2025,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,T9,17000000,62,Ya
2022,Jawa Barat,Bandung,Mobil Listrik (R4),Wuling,BinguoEV,200000000,250,Tidak
2025,Jawa Timur,Sidoarjo,Motor Listrik (R2),Polytron,Fox R,30000000,75,Ya
2022,Jawa Timur,Surabaya,Motor Listrik (R2),Polytron,Fox R,24000000,61,Ya
2023,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,Air EV,344000000,252,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Volta,401,36000000,104,Tidak
2023,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Hyundai,Ioniq 5,774000000,421,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Gesits,G1,42000000,124,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Volta,Virgo,33000000,68,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Honda,EM1 e:,31000000,87,Tidak
2025,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,BinguoEV,233000000,393,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Seal,450000000,454,Tidak
2025,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,Cloud EV,371000000,321,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,T9,29000000,73,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Honda,EM1 e:,27000000,114,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Selis,E-Max,28000000,74,Ya
2023,Jawa Timur,Malang,Mobil Listrik (R4),BYD,Seal,638000000,428,Tidak
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Alva,Cervo,37000000,96,Ya
2023,Jawa Timur,Lainnya,Motor Listrik (R2),Polytron,Fox S,30000000,74,Ya
2022,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,34000000,99,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,E8s Pro,22000000,130,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,21000000,68,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Honda,EM1 e:,45000000,107,Ya
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Air EV,362000000,325,Ya
2024,Jawa Timur,Surabaya,Motor Listrik (R2),Alva,Cervo,31000000,70,Tidak
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,Air EV,291000000,302,Ya
2024,Jawa Timur,Malang,Motor Listrik (R2),Polytron,Fox R,17000000,106,Ya
2023,Jawa Barat,Bandung,Mobil Listrik (R4),MG,MG ZS EV,605000000,403,Tidak
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),Wuling,Air EV,298000000,385,Ya
2023,Banten,Lainnya,Mobil Listrik (R4),Chery,Omoda E5,995000000,369,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,30000000,111,Ya
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Selis,Agats,19000000,118,Ya
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox S,30000000,123,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Chery,Omoda E5,430000000,325,Tidak
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Air EV,317000000,373,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,Air EV,287000000,354,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Mandala,34000000,72,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,36000000,126,Tidak
2024,DKI Jakarta,Jakarta Timur,Bus/Komersil (EV),INKA,E-Inobus,3413000000,187,Tidak
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Alva,Cervo,32000000,103,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,E-Max,45000000,64,Tidak
2024,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,29000000,100,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Honda,EM1 e:,29000000,118,Ya
2023,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Toyota,bZ4X,581000000,442,Tidak
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,30000000,115,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,Mandala,37000000,109,Ya
2023,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,33000000,122,Tidak
2022,Jawa Barat,Bogor,Motor Listrik (R2),Alva,One,31000000,67,Ya
2023,Jawa Timur,Sidoarjo,Mobil Listrik (R4),MG,MG ZS EV,906000000,396,Tidak
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,25000000,67,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,19000000,106,Ya
2023,Jawa Barat,Bogor,Motor Listrik (R2),Honda,EM1 e:,39000000,103,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox S,26000000,105,Ya
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Gesits,G1,36000000,91,Ya
2024,Jawa Timur,Surabaya,Mobil Listrik (R4),Hyundai,Ioniq 5,1031000000,429,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Cloud EV,206000000,278,Ya
2021,Jawa Timur,Sidoarjo,Motor Listrik (R2),Gesits,G1,15000000,128,Ya
2022,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Chery,Omoda E5,871000000,408,Tidak
2024,Jawa Barat,Bogor,Motor Listrik (R2),Selis,Agats,23000000,62,Ya
2025,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,25000000,108,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,Agats,25000000,72,Ya
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,Air EV,366000000,372,Ya
2024,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,317000000,328,Ya
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Honda,EM1 e:,20000000,98,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,30000000,69,Ya
2022,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,24000000,93,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox S,33000000,111,Ya
2023,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Seal,696000000,424,Tidak
2021,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Selis,Agats,23000000,68,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,28000000,86,Ya
2022,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,393000000,219,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,E8s Pro,31000000,98,Ya
2024,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,E8s Pro,21000000,113,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Alva,Cervo,34000000,125,Tidak
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Yadea,T9,43000000,62,Tidak
2023,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,33000000,123,Ya
2024,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Cloud EV,400000000,390,Ya
2023,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Alva,Cervo,44000000,128,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,44000000,67,Ya
2025,Jawa Timur,Malang,Motor Listrik (R2),Selis,E-Max,26000000,119,Ya
2023,Jawa Barat,Bogor,Motor Listrik (R2),Volta,401,38000000,98,Ya
2021,Banten,Lainnya,Motor Listrik (R2),Alva,Cervo,42000000,68,Ya
2023,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Hyundai,Ioniq 5,1133000000,455,Ya
2024,Sulawesi Selatan,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,35000000,80,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,G1,27000000,90,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,401,15000000,91,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,32000000,115,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Yadea,T9,21000000,80,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Volta,401,23000000,95,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,E-Max,35000000,65,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Honda,EM1 e:,16000000,70,Ya
2025,Jawa Barat,Bogor,Motor Listrik (R2),Selis,Agats,42000000,68,Tidak
2025,Banten,Tangerang,Motor Listrik (R2),Gesits,G1,27000000,77,Ya
2024,Jawa Timur,Sidoarjo,Motor Listrik (R2),Polytron,Fox R,31000000,127,Ya
2025,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Ioniq 6,1152000000,373,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Kona Electric,762000000,430,Ya
2024,Banten,Tangerang,Mobil Listrik (R4),Toyota,bZ4X,641000000,408,Tidak
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Hyundai,Ioniq 5,754000000,394,Ya
2023,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 6,925000000,454,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Honda,EM1 e:,30000000,128,Ya
2022,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,T9,25000000,129,Ya
2024,Jawa Timur,Sidoarjo,Mobil Listrik (R4),BYD,M6,749000000,463,Tidak
2021,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,26000000,120,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,195000000,365,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Selis,E-Max,41000000,66,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,24000000,106,Ya
2022,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,42000000,116,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,One,44000000,110,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 6,746000000,410,Ya
2023,Jawa Barat,Bogor,Motor Listrik (R2),Gesits,G1,42000000,80,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,Cloud EV,271000000,396,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,Air EV,260000000,220,Ya
2022,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Ioniq 6,1077000000,455,Tidak
2025,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,916000000,375,Ya
2024,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 5,1057000000,416,Ya
2023,Banten,Lainnya,Motor Listrik (R2),Polytron,Fox S,28000000,130,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Gesits,Raya,37000000,63,Tidak
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Yadea,T9,35000000,116,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox S,21000000,99,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,18000000,80,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,Virgo,37000000,76,Ya
2025,Jawa Barat,Bogor,Mobil Listrik (R4),Hyundai,Kona Electric,910000000,431,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,BinguoEV,378000000,234,Ya
2025,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 5,1051000000,433,Ya
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,21000000,70,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,G1,27000000,108,Ya
2023,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,401,45000000,62,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,T9,44000000,71,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Volta,Mandala,37000000,81,Tidak
2023,Jawa Timur,Malang,Motor Listrik (R2),Alva,Cervo,34000000,93,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox S,20000000,75,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,E8s Pro,39000000,118,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Polytron,Fox R,37000000,86,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,24000000,123,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,28000000,86,Ya
2023,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,41000000,96,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,T9,28000000,83,Ya
2025,Jawa Barat,Depok,Mobil Listrik (R4),MG,MG 4 EV,429000000,374,Tidak
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Volta,Virgo,29000000,91,Ya
2025,Jawa Timur,Lainnya,Motor Listrik (R2),Selis,Agats,17000000,61,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,Air EV,272000000,377,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,37000000,109,Ya
2022,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,E8s Pro,38000000,92,Tidak
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox R,16000000,102,Ya
2023,Jawa Barat,Bandung,Mobil Listrik (R4),Chery,Omoda E5,762000000,311,Tidak
2024,Banten,Lainnya,Motor Listrik (R2),Gesits,Raya,24000000,110,Ya
2025,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,BinguoEV,223000000,343,Ya
2025,Banten,Tangerang,Mobil Listrik (R4),Wuling,Cloud EV,235000000,266,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),Wuling,Cloud EV,316000000,286,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,25000000,127,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Alva,One,23000000,74,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Ioniq 5,765000000,477,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),Wuling,Cloud EV,282000000,310,Ya
2025,Jawa Barat,Bogor,Motor Listrik (R2),Gesits,Raya,31000000,100,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Mandala,38000000,122,Tidak
2022,Jawa Barat,Bekasi,Bus/Komersil (EV),VKTR,MD12,3108000000,174,Tidak
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox R,20000000,64,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),BYD,Dolphin,483000000,580,Tidak
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,43000000,123,Ya
2024,Banten,Tangerang Selatan,Motor Listrik (R2),Polytron,Fox S,26000000,122,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Alva,One,42000000,78,Tidak
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),MG,MG ZS EV,495000000,352,Tidak
2025,Jawa Barat,Depok,Motor Listrik (R2),Volta,401,38000000,125,Ya
2022,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,33000000,60,Ya
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Hyundai,Kona Electric,1092000000,496,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Alva,One,22000000,123,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Gesits,G1,24000000,75,Ya
2024,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),MG,MG ZS EV,508000000,382,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,401,17000000,118,Ya
2025,Sulawesi Selatan,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,350000000,268,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Selis,E-Max,25000000,65,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,45000000,76,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),BYD,Seal,729000000,472,Tidak
2024,Jawa Timur,Lainnya,Mobil Listrik (R4),Wuling,Air EV,380000000,218,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox S,23000000,82,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,17000000,62,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,231000000,299,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Honda,EM1 e:,24000000,79,Ya
2022,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 6,951000000,460,Tidak
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Yadea,T9,26000000,72,Ya
2020,Jawa Timur,Lainnya,Motor Listrik (R2),Selis,E-Max,30000000,117,Ya
2023,Jawa Barat,Bandung,Motor Listrik (R2),Alva,Cervo,33000000,114,Ya
2025,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,40000000,107,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,Mandala,35000000,114,Tidak
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox S,29000000,88,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Alva,One,24000000,119,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox S,24000000,79,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Cloud EV,266000000,263,Ya
2022,Jawa Barat,Lainnya,Motor Listrik (R2),Selis,Agats,24000000,66,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Polytron,Fox R,31000000,73,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Alva,Cervo,18000000,119,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,26000000,92,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,39000000,124,Tidak
2021,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,38000000,119,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,Air EV,391000000,246,Ya
2024,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,Air EV,211000000,306,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,BinguoEV,340000000,385,Ya
2023,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,Cloud EV,305000000,359,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),MG,MG ZS EV,591000000,354,Tidak
2024,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox S,42000000,73,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Selis,E-Max,15000000,110,Ya
2025,Jawa Barat,Bogor,Mobil Listrik (R4),Hyundai,Ioniq 5,787000000,472,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Yadea,E8s Pro,42000000,122,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,37000000,110,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Honda,EM1 e:,17000000,76,Ya
2025,DI Yogyakarta,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,238000000,228,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,37000000,84,Ya
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Volta,Mandala,35000000,78,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),BYD,M6,720000000,537,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox S,39000000,119,Ya
2022,Jawa Barat,Bekasi,Motor Listrik (R2),Alva,Cervo,15000000,74,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Virgo,37000000,116,Ya
2025,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,BinguoEV,195000000,315,Ya
2022,Sulawesi Selatan,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,24000000,110,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Polytron,Fox S,15000000,73,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,28000000,123,Ya
2022,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),BYD,Dolphin,418000000,524,Tidak
2023,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Ioniq 6,962000000,474,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,T9,31000000,62,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Selis,Agats,32000000,68,Ya
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Kona Electric,913000000,471,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Alva,Cervo,29000000,115,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,Mandala,38000000,84,Ya
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,Raya,22000000,124,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,Agats,44000000,119,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Gesits,Raya,45000000,113,Ya
2023,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Wuling,BinguoEV,394000000,241,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Mandala,37000000,71,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,401,21000000,80,Ya
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Alva,One,40000000,113,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,G1,21000000,66,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Gesits,Raya,26000000,80,Ya
2025,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,40000000,68,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,18000000,89,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,30000000,93,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,39000000,65,Ya
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Honda,EM1 e:,43000000,79,Tidak
2024,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,T9,44000000,116,Ya
2021,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,18000000,73,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Honda,EM1 e:,31000000,73,Ya
2024,Banten,Tangerang Selatan,Motor Listrik (R2),Yadea,T9,42000000,86,Tidak
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Volta,Virgo,24000000,116,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Yadea,T9,19000000,106,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,18000000,85,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,One,22000000,120,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,G1,17000000,94,Ya
2022,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Ioniq 6,1066000000,456,Tidak
2023,Banten,Tangerang Selatan,Mobil Listrik (R4),Chery,Omoda E5,555000000,435,Tidak
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,19000000,114,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,45000000,126,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,45000000,63,Ya
2024,Jawa Timur,Surabaya,Motor Listrik (R2),Volta,401,37000000,126,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox S,25000000,111,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,One,27000000,64,Ya
2023,Jawa Barat,Lainnya,Mobil Listrik (R4),BYD,Seal,723000000,582,Tidak
2025,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,27000000,130,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,E8s Pro,44000000,104,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,43000000,127,Tidak
2023,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),MG,MG 4 EV,813000000,414,Tidak
2024,Banten,Lainnya,Motor Listrik (R2),Yadea,T9,43000000,129,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,37000000,104,Ya
2025,Jawa Timur,Surabaya,Motor Listrik (R2),Honda,EM1 e:,43000000,98,Ya
